column,dtype,non_null,null
Unnamed: 0,object,6,1
"Cluster 4: Tourism, Defence & Robotics (The ""Service & Security"" Layer). Focus: Experience, Safety, and High-Tech Intervention. ",object,6,1
Unnamed: 2,object,6,1
Unnamed: 3,object,6,1
"Cluster 2: Energy, Resources & Desalination (The ""Hard"" Economy). Focus: Decarbonization, Engineering, and Spatial Management",object,6,1
Unnamed: 5,object,6,1
Unnamed: 6,object,6,1
"Cluster 3: Transport, Ports & Infrastructure (The ""Blue Spine""): Focus: Logistics, Digital Twins, and Global Trade.",object,6,1
Unnamed: 8,object,6,1
Unnamed: 9,object,6,1
"Cluster 1: Living Resources & Biotechnology (The ""Bio-Economy""). Focus: Stewardship, Circularity, and High-Tech Value Creation: Focus: Stewardship, Circularity, and High-Tech Value Creation",object,6,1
Unnamed: 11,object,6,1
Unnamed: 12,object,6,1
Unnamed: 13,object,1,6
